substance,interactant,niveau,description,conduite
ABATACEPT,ANTI-TNF ALPHA,AD,Majoration de l'immunodépression.,
ABATACEPT,VACCINS VIVANTS ATTÉNUÉS,AD,"Risque de maladie vaccinale généralisée, éventuellement mortelle.",ainsi que pendant les 3 mois suivant l'arrêt du traitement.
ABIRATERONE,INDUCTEURS ENZYMATIQUES PUISSANTS,AD,"Diminution notable des concentrations plasmatiques de l'abiratérone, avec risque de moindre efficacité.",
ABIRATERONE,METOPROLOL,PE,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par l'abiratérone."
ABIRATERONE,PROPAFENONE,PE,"Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par l'abiratérone."
ABIRATERONE,RIFAMPICINE,AD,"Diminution notable des concentrations plasmatiques de l'abiratérone, avec risque de moindre efficacité.",
ABROCITINIB,FLUCONAZOLE,PE,Risque de majoration des effets indésirables de l'abrocitinib par diminution de son métabolisme.,Réduire la posologie de l'abrocitinib de moitié en cas de traitement par le fluconazole.
ABROCITINIB,FLUVOXAMINE,PE,Risque de majoration des effets indésirables de l'abrocitinib par diminution de son métabolisme.,Réduire la posologie de l'abrocitinib de moitié en cas de traitement par la fluvoxamine.
ACETAZOLAMIDE,ACIDE ACETYLSALICYLIQUE,AD,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",
ACETAZOLAMIDE,CARBAMAZEPINE,PE,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.,"Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie."
ACETAZOLAMIDE,LITHIUM,PE,Diminution de la lithémie avec risque de baisse de l'efficacité thérapeutique.,Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.
ACETAZOLAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",PE,"Augmentation de l'hyperammoniémie, avec risque accru d'encéphalopathie.",Surveillance clinique et biologique régulière.
ACIDE ACETOHYDROXAMIQUE,FER,APEC,Diminution de l'absorption digestive de ces deux médicaments par chélation du fer.,
ACIDE ACETYLSALICYLIQUE,ACETAZOLAMIDE,AD,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",
ACIDE ACETYLSALICYLIQUE,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association.
ACIDE ACETYLSALICYLIQUE,ANTICOAGULANTS ORAUX,APEC,"Majoration du risque hémorragique, notamment en cas d'antécédent d'ulcère gastro-duodénal.","CI - ASDEC - APEC Contre-indication avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antécédent d'ulcère gastro-duodénal Association déconseillée avec : - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antécédent d'ulcère gastro-duodénal - des doses antiagrégantes (de 50 mg à 375 mg par jour) et en cas d'antécédent d'ulcère gastro-duodénal. Nécessité d'un contrôle le cas échéant, en particulier du temps de saignement. avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour)"
ACIDE ACETYLSALICYLIQUE,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,APEC,Majoration du risque ulcérogène et hémorragique digestif.,ASDEC - APEC Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour en 1 ou plusieurs prises)
ACIDE ACETYLSALICYLIQUE,CLOPIDOGREL,PE,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,ASDEC - PE Association déconseillée : - en dehors des indications validées pour cette association dans les syndromes coronariens aigus. : - dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.
ACIDE ACETYLSALICYLIQUE,DEFERASIROX,APEC,Majoration du risque ulcérogène et hémorragique digestif.,A prendre en compte : - Pour des doses anti-inflammatoires d'acide acétylsalicylique ( 1g par prise et/ou 3g par jour) - Pour des doses antalgiques ou antipyrétiques d'acide acétylsalicylique ( 500 mg par prise et/ou <3g par jour) et ( 500 mg par prise et/ou <3g par jour)
